"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","visib","wdsp","fog","NUM_COLLISIONS"
"157",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.3,10,15.5,0,-0.449164740722622
"158",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,16.2,10,15.6,0,-0.538884362109874
"159",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,21.8,10,9.8,0,-0.499008974826651
"160",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,16.5,9.7,11.1,0,0.129028374884109
"161",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,13.7,7,17,0,-1.86474098927703
"162",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,23.5,10,7.9,0,-0.379382812976982
"163",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,21.7,10,16.3,0,-1.69527059332334
"164",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,24.2,0.8,26.9,1,-1.75508367424817
"165",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,26,10,8,0,-2.24355716846765
"166",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,27,10,14.5,0,-1.04729554997097
"167",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,30.2,0.6,39.3,1,-4.09776267713751
"168",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,44.8,4.4,13.4,1,-1.33639210777433
"169",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.2,1.3,8.2,1,-0.568790902572291
"170",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,21.6,6.6,16.6,0,-1.40617403551997
"171",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,19,10,13.6,0,0.747096877774063
"172",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.1,4.4,12.4,1,-1.01738900950855
"173",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,42.2,9.1,11.1,0,1.34522768702241
"174",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,28.8,9.7,5.8,0,0.677314950028423
"175",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,37.8,9,8.6,0,-2.78187489679116
"176",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,36.8,8.8,15.1,0,0.308467617658612
"177",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,31.4,10,6.6,0,0.876691886444537
"178",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,33.8,10,9.6,0,0.816878805519703
"179",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,35.6,10,13.6,0,-0.0205043274279766
"180",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,10,13.2,0,-2.09402446615556
"181",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,35,9.9,18.3,0,1.20566383153113
"182",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,35.9,8.8,8.5,0,-0.778136685809211
"183",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,31.6,9.4,8.3,0,-0.459133587543428
"184",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,15.7,9.5,16.4,0,0.0193710598552462
"185",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,31.9,4.3,23.4,1,-0.199943570202479
"186",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,23,9.5,23.4,0,1.00628689511501
"187",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,38.8,8.7,7.9,0,-1.50586250372803
"188",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,35.7,9.8,11.3,0,-0.339507425693759
"189",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,35.1,9.9,7.8,0,-1.53576904419045
"190",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,35.7,9.8,5.9,0,-2.05414907887234
"191",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,38.6,6.7,3.7,1,-0.100255101994422
"192",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,40,9.6,8.4,0,0.577626481820366
"193",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,40.9,8.8,18.6,0,0.677314950028423
"194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,35.7,10,13.1,0,-0.987482469046131
"195",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,34.4,8.8,15.3,0,-1.17689055864144
"196",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,41.6,4.5,13.8,0,-0.499008974826651
"197",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38,10,5.4,0,0.607533022282783
"198",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,37.7,10,12.5,0,-1.76505252106898
"199",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,41.2,9.8,10.2,0,-2.05414907887234
"200",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,28,10,13.2,0,0.0293399066760519
"201",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,24.1,6.1,19.5,1,-1.92455407020187
"202",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.5,10,12.4,0,-1.18685940546224
