"","day","mo","temp","NUM_COLLISIONS"
"636",6,4,43.8,0.886660733265343
"637",1,4,39.7,-1.47595596326561
"638",1,4,40.6,-0.997451315866936
"639",6,4,42.9,-0.170037029740062
"640",6,4,40,0.228716843092166
"641",6,4,45,-1.07720209043338
"642",4,4,39.3,-0.798074379450822
"643",5,4,44.5,0.607533022282783
"644",4,4,41.9,0.627470715924395
"645",2,4,43,-0.339507425693759
"646",2,4,37.7,-0.369413966156177
"647",2,4,46.2,-0.0504108678903938
"648",1,4,37.9,-1.30648556731191
"649",1,4,42.4,-1.49589365690722
"650",5,4,42.8,0.109090681242498
"651",1,4,44.2,-1.99433599794751
"652",3,4,41.4,-0.618635136676319
"653",7,4,43.5,-1.11707747771661
"654",7,4,44.8,-0.189974723381674
"655",2,4,46.5,-0.0205043274279766
"656",2,4,45.2,0.308467617658612
"657",7,4,44.6,-0.150099336098451
"658",5,4,44,0.747096877774063
"659",4,4,47.5,-0.0105354806071709
"660",5,4,46.2,-0.818012073092434
"661",3,4,47.7,0.0692152939592748
"662",3,4,49.7,1.23557037199354
"663",7,4,47.7,0.248654536733778
"664",1,4,45.8,-0.309600885231342
"665",7,4,49.7,-0.000566633786365205
"666",7,4,47.3,-0.180005876560868
"667",3,4,42.9,-0.0105354806071709
"668",4,4,46.5,-0.189974723381674
"669",5,4,46.5,-0.459133587543428
"670",3,4,49.8,-0.568790902572291
"671",6,4,46.1,-0.818012073092434
"672",6,4,47.5,0.796941111878092
"673",6,4,47.8,0.946473814190178
"674",2,4,45,-0.449164740722622
"675",2,4,43,0.467969166791503
"676",5,4,47.5,0.328405311300223
"677",3,4,45.6,-0.120192795636034
"678",1,4,46.1,-1.21676594592466
"679",5,4,47.7,-1.09713978407499
"680",2,4,47.8,-0.339507425693759
"681",3,4,46.9,1.32528999338079
"682",7,4,50.1,-0.209912417023285
"683",2,4,49.5,0.876691886444537
"684",7,4,54.2,0.617501869103589
"685",1,4,47,-1.16692171182063
"686",7,4,51.9,0.0592464471384691
"687",1,4,46.3,-1.2765790268495
"688",1,4,50.8,-1.41614288234078
"689",2,4,52,0.577626481820366
"690",7,4,53.4,0.49787570725392
"691",6,4,55.4,1.41500961476805
"692",7,4,40.2,-0.678448217601154
"693",3,4,35.1,0.727159184132452
"694",5,4,39,-0.329538578872954
